molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency
CHEMBL3670863,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NS(=O)(=O)c1ccc2c(c1)OCCC2C)S(=O)(=O)c1ccc(N)cc1,4.95,nM,8.30,"{'bei': '11.06', 'le': '0.22', 'lle': '3.12', 'sei': '4.94'}"
CHEMBL3670864,CCC(=O)NC(=O)N(C)CC(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.878,nM,9.06,"{'bei': '12.74', 'le': '0.25', 'lle': '6.04', 'sei': '4.74'}"
CHEMBL3670865,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NCc1ccccn1)S(=O)(=O)c1ccc(N)cc1,5.898,nM,8.23,"{'bei': '13.02', 'le': '0.25', 'lle': '3.72', 'sei': '5.98'}"
CHEMBL3670866,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NS(=O)(=O)c1cccs1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.601,nM,9.22,"{'bei': '12.93', 'le': '0.26', 'lle': '4.42', 'sei': '5.80'}"
CHEMBL3670867,CN[C@H](C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)C1C=CC=CC1,0.436,nM,9.36,"{'bei': '16.06', 'le': '0.31', 'lle': '5.29', 'sei': '7.50'}"
CHEMBL3670868,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCC1=CCCN=C1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.465,nM,9.33,"{'bei': '13.28', 'le': '0.25', 'lle': '4.87', 'sei': '5.61'}"
CHEMBL3670869,CC(C)CN([C@H](CO)CCCCNC(=O)[C@@H](NC(=O)NCc1ccncc1)C(c1ccccc1)c1ccccc1)S(=O)(=O)c1ccc(N)cc1,0.51,nM,9.29,"{'bei': '13.26', 'le': '0.25', 'lle': '4.63', 'sei': '5.57'}"
CHEMBL3670900,Cc1ccc(C(=O)N[C@@H](Cc2ccccc2C)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cc1O,0.938,nM,9.03,"{'bei': '14.13', 'le': '0.27', 'lle': '5.10', 'sei': '5.57'}"
CHEMBL3670874,COC(=O)N[C@H](C(=O)NCCCCC(C(N)=O)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.08,nM,8.97,"{'bei': '14.06', 'le': '0.27', 'lle': '5.36', 'sei': '5.16'}"
CHEMBL3670871,COC(=O)N[C@H](C(=O)NCCCC[C@@H](CO)N(Cc1cccnc1)S(=O)(=O)c1ccc(N)cc1)C(c1ccccc1)c1ccccc1,1.007,nM,9.00,"{'bei': '13.64', 'le': '0.26', 'lle': '4.94', 'sei': '5.49'}"
