,molecule_chembl_id,canonical_smiles,standard_value,standard_units,pchembl_value,ligand_efficiency,chirality,parent_chembl_id,cx_logd,alogp,hba,hbd,mw_freebase,full_mwt,num_ro5_violations,psa,heavy_atoms,np_likeness_score,clean_smiles,MW,LogP,NumHDonors,NumHAcceptors
12,CHEMBL3670886,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,0.6,nM,9.22,"{'bei': '13.10', 'le': '0.28', 'lle': '4.84', 'sei': '5.69'}",-1,CHEMBL3670886,4.8,4.38,7,5,703.7,703.7,1,162.06,45,-0.71,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1Br)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,703.7000000000002,4.380720000000003,5.0,7.0
13,CHEMBL3670887,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cccc(=O)[nH]1)S(=O)(=O)c1ccc(N)cc1,0.29,nM,9.54,"{'bei': '13.81', 'le': '0.30', 'lle': '6.48', 'sei': '5.46'}",-1,CHEMBL3670887,2.61,3.06,7,5,690.66,690.66,1,174.69,44,-0.71,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](Cc1ccccc1Br)NC(=O)c1cccc(=O)[nH]1)S(=O)(=O)c1ccc(N)cc1,690.661,3.055,5.0,7.0
14,CHEMBL3670897,Cc1ccccc1C[C@H](NC(=O)c1cccnc1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,1.417,nM,8.85,"{'bei': '14.51', 'le': '0.28', 'lle': '5.54', 'sei': '5.72'}",-1,CHEMBL3670897,3.13,3.31,7,4,609.79,609.79,1,154.72,43,-0.94,Cc1ccccc1C[C@H](NC(=O)c1cccnc1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,609.7930000000002,3.307620000000001,4.0,7.0
15,CHEMBL3670829,O=C(O)CNC(=O)c1c(=O)oc(O)c2cc(Br)ccc12,1.286,nM,8.89,"{'bei': '25.99', 'le': '0.61', 'lle': '7.81', 'sei': '7.61'}",-1,CHEMBL3670829,-6.12,1.08,5,3,342.1,342.1,0,116.84,20,-0.31,O=C(O)CNC(=O)c1c(=O)oc(O)c2cc(Br)ccc12,342.101,1.0754999999999997,3.0,5.0
16,CHEMBL3670898,C[C@H](NC(=O)c1c(=O)oc(O)c2cccc(-c3cccc(C(F)(F)F)c3)c12)C(=O)O,1.353,nM,8.87,"{'bei': '21.05', 'le': '0.40', 'lle': '5.48', 'sei': '7.59'}",-1,CHEMBL3670898,-3.71,3.39,5,3,421.33,421.33,0,116.84,30,-0.54,C[C@H](NC(=O)c1c(=O)oc(O)c2cccc(-c3cccc(C(F)(F)F)c3)c12)C(=O)O,421.3270000000001,3.387300000000001,3.0,5.0
17,CHEMBL3670899,Cc1ccccc1C[C@H](NC(=O)c1cccc(C)c1O)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,4.122,nM,8.38,"{'bei': '13.13', 'le': '0.25', 'lle': '4.45', 'sei': '5.17'}",-1,CHEMBL3670899,5.17,3.93,7,5,638.83,638.83,1,162.06,45,-0.72,Cc1ccccc1C[C@H](NC(=O)c1cccc(C)c1O)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,638.8310000000002,3.9266400000000017,5.0,7.0
18,CHEMBL3670901,COC(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,5.212,nM,8.28,"{'bei': '14.93', 'le': '0.30', 'lle': '5.02', 'sei': '5.48'}",-1,CHEMBL3670901,3.06,3.26,7,4,554.75,554.75,1,151.06,38,-0.59,COC(=O)N[C@@H](CC1CCCCC1)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c1ccc(N)cc1,554.7540000000001,3.257900000000001,4.0,7.0
19,CHEMBL3670902,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,2.876,nM,8.54,"{'bei': '14.19', 'le': '0.28', 'lle': '4.81', 'sei': '5.52'}",-1,CHEMBL3670902,3.08,3.73,7,4,601.81,601.81,1,154.72,42,-0.75,CC(C)CN([C@H](CO)CCCCNC(=O)[C@H](CC1CCCCC1)NC(=O)c1cccnc1)S(=O)(=O)c1ccc(N)cc1,601.8140000000002,3.726900000000001,4.0,7.0
20,CHEMBL3670903,Cc1ccc(C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,3.314,nM,8.48,"{'bei': '13.77', 'le': '0.27', 'lle': '4.44', 'sei': '5.48'}",-1,CHEMBL3670903,3.21,4.04,7,4,615.84,615.84,1,154.72,43,-0.82,Cc1ccc(C(=O)N[C@@H](CC2CCCCC2)C(=O)NCCCC[C@@H](CO)N(CC(C)C)S(=O)(=O)c2ccc(N)cc2)cn1,615.8410000000002,4.035320000000002,4.0,7.0
21,CHEMBL3639697,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1cccc2cccnc12)C(c1ccccc1)c1ccccc1,2.55,nM,8.59,"{'bei': '13.00', 'le': '0.25', 'lle': '3.50', 'sei': '6.23'}",-1,CHEMBL3639697,5.08,5.09,7,3,660.84,660.84,2,137.93,47,-0.81,COC(=O)N[C@H](C(=O)NCCCC[C@H](CO)N(CC(C)C)S(=O)(=O)c1cccc2cccnc12)C(c1ccccc1)c1ccccc1,660.8370000000002,5.085600000000005,3.0,7.0
